trackID,class,frame,xmin,ymin,xmax,ymax,time,date
12,person,7,602,988,828,1080,23:22:12,02|Dec|2020
13,person,7,1153,0,1193,75,23:22:12,02|Dec|2020
1,person,8,219,818,328,1076,23:22:12,02|Dec|2020
2,person,8,729,219,797,405,23:22:12,02|Dec|2020
3,person,8,1604,617,1715,868,23:22:12,02|Dec|2020
4,person,8,887,72,950,226,23:22:12,02|Dec|2020
5,person,8,818,236,877,418,23:22:12,02|Dec|2020
6,person,8,839,403,977,638,23:22:12,02|Dec|2020
7,person,8,1646,116,1713,276,23:22:12,02|Dec|2020
9,person,8,1463,29,1542,181,23:22:12,02|Dec|2020
10,person,8,1590,944,1706,1077,23:22:12,02|Dec|2020
11,person,8,1805,172,1875,344,23:22:12,02|Dec|2020
12,person,8,601,984,834,1080,23:22:12,02|Dec|2020
13,person,8,1152,0,1192,74,23:22:12,02|Dec|2020
14,person,8,1322,0,1360,48,23:22:12,02|Dec|2020
1,person,9,214,825,322,1076,23:22:12,02|Dec|2020
2,person,9,733,220,799,402,23:22:12,02|Dec|2020
3,person,9,1603,622,1719,884,23:22:12,02|Dec|2020
4,person,9,889,71,952,225,23:22:12,02|Dec|2020
5,person,9,820,236,879,417,23:22:12,02|Dec|2020
6,person,9,836,408,971,639,23:22:12,02|Dec|2020
7,person,9,1646,115,1712,272,23:22:12,02|Dec|2020
9,person,9,1463,30,1541,179,23:22:12,02|Dec|2020
10,person,9,1591,950,1704,1078,23:22:12,02|Dec|2020
11,person,9,1806,172,1877,344,23:22:12,02|Dec|2020
12,person,9,598,978,840,1080,23:22:12,02|Dec|2020
13,person,9,1151,0,1191,74,23:22:12,02|Dec|2020
14,person,9,1322,0,1360,48,23:22:12,02|Dec|2020
1,person,10,211,827,320,1076,23:22:12,02|Dec|2020
2,person,10,734,220,800,401,23:22:12,02|Dec|2020
3,person,10,1603,624,1720,889,23:22:12,02|Dec|2020
4,person,10,890,70,952,224,23:22:12,02|Dec|2020
5,person,10,820,236,880,416,23:22:12,02|Dec|2020
6,person,10,836,410,969,639,23:22:12,02|Dec|2020
7,person,10,1646,114,1711,271,23:22:12,02|Dec|2020
9,person,10,1462,30,1541,178,23:22:12,02|Dec|2020
10,person,10,1591,952,1704,1078,23:22:12,02|Dec|2020
11,person,10,1806,171,1878,343,23:22:12,02|Dec|2020
12,person,10,599,976,842,1080,23:22:12,02|Dec|2020
13,person,10,1151,0,1191,74,23:22:12,02|Dec|2020
16,person,10,985,0,1049,122,23:22:12,02|Dec|2020
17,person,10,305,225,381,416,23:22:12,02|Dec|2020
1,person,11,209,834,317,1078,23:22:12,02|Dec|2020
2,person,11,737,220,804,400,23:22:12,02|Dec|2020
3,person,11,1603,627,1722,897,23:22:12,02|Dec|2020
4,person,11,891,70,954,224,23:22:12,02|Dec|2020
5,person,11,821,236,880,414,23:22:12,02|Dec|2020
6,person,11,833,411,968,644,23:22:12,02|Dec|2020
7,person,11,1647,114,1711,269,23:22:12,02|Dec|2020
9,person,11,1464,30,1543,178,23:22:12,02|Dec|2020
10,person,11,1594,961,1700,1078,23:22:12,02|Dec|2020
11,person,11,1806,172,1879,344,23:22:12,02|Dec|2020
12,person,11,601,972,845,1079,23:22:12,02|Dec|2020
13,person,11,1150,0,1191,75,23:22:12,02|Dec|2020
14,person,11,1323,0,1355,40,23:22:12,02|Dec|2020
16,person,11,986,0,1052,126,23:22:12,02|Dec|2020
17,person,11,312,224,389,414,23:22:12,02|Dec|2020
1,person,12,202,839,309,1079,23:22:12,02|Dec|2020
2,person,12,739,220,806,400,23:22:12,02|Dec|2020
3,person,12,1603,632,1722,900,23:22:12,02|Dec|2020
4,person,12,893,70,955,222,23:22:12,02|Dec|2020
5,person,12,824,234,883,409,23:22:12,02|Dec|2020
6,person,12,829,413,963,647,23:22:12,02|Dec|2020
7,person,12,1647,111,1711,267,23:22:12,02|Dec|2020
9,person,12,1464,30,1544,179,23:22:12,02|Dec|2020
10,person,12,1596,967,1698,1078,23:22:12,02|Dec|2020
11,person,12,1807,171,1880,344,23:22:12,02|Dec|2020
12,person,12,600,966,851,1079,23:22:12,02|Dec|2020
13,person,12,1149,0,1190,75,23:22:12,02|Dec|2020
14,person,12,1323,0,1354,38,23:22:12,02|Dec|2020
16,person,12,988,0,1052,124,23:22:12,02|Dec|2020
17,person,12,313,219,390,409,23:22:12,02|Dec|2020
1,person,13,194,842,301,1079,23:22:12,02|Dec|2020
2,person,13,742,220,810,400,23:22:12,02|Dec|2020
3,person,13,1604,638,1724,908,23:22:12,02|Dec|2020
4,person,13,895,71,957,222,23:22:12,02|Dec|2020
5,person,13,828,232,886,405,23:22:12,02|Dec|2020
6,person,13,820,416,952,649,23:22:12,02|Dec|2020
7,person,13,1647,108,1712,264,23:22:12,02|Dec|2020
9,person,13,1466,29,1546,178,23:22:12,02|Dec|2020
11,person,13,1812,172,1883,340,23:22:12,02|Dec|2020
12,person,13,602,961,856,1079,23:22:12,02|Dec|2020
13,person,13,1147,0,1188,76,23:22:12,02|Dec|2020
14,person,13,1323,0,1355,38,23:22:12,02|Dec|2020
16,person,13,991,0,1054,122,23:22:12,02|Dec|2020
17,person,13,316,219,393,408,23:22:12,02|Dec|2020
1,person,14,192,843,298,1080,23:22:12,02|Dec|2020
2,person,14,743,219,811,400,23:22:12,02|Dec|2020
3,person,14,1604,640,1724,910,23:22:12,02|Dec|2020
4,person,14,895,71,957,222,23:22:12,02|Dec|2020
5,person,14,829,231,888,404,23:22:12,02|Dec|2020
6,person,14,817,417,947,650,23:22:12,02|Dec|2020
7,person,14,1647,107,1712,262,23:22:12,02|Dec|2020
9,person,14,1466,29,1546,177,23:22:12,02|Dec|2020
11,person,14,1813,172,1884,338,23:22:12,02|Dec|2020
12,person,14,605,959,855,1079,23:22:12,02|Dec|2020
13,person,14,1146,0,1188,76,23:22:12,02|Dec|2020
14,person,14,1323,0,1355,38,23:22:12,02|Dec|2020
16,person,14,992,0,1055,122,23:22:12,02|Dec|2020
17,person,14,317,219,394,409,23:22:12,02|Dec|2020
1,person,15,187,848,290,1080,23:22:12,02|Dec|2020
2,person,15,745,219,814,400,23:22:12,02|Dec|2020
3,person,15,1605,643,1725,912,23:22:12,02|Dec|2020
4,person,15,898,71,960,222,23:22:12,02|Dec|2020
5,person,15,833,230,891,403,23:22:12,02|Dec|2020
6,person,15,815,417,944,652,23:22:12,02|Dec|2020
7,person,15,1647,105,1712,262,23:22:12,02|Dec|2020
9,person,15,1468,28,1547,175,23:22:12,02|Dec|2020
11,person,15,1814,172,1886,339,23:22:12,02|Dec|2020
12,person,15,615,956,864,1079,23:22:12,02|Dec|2020
13,person,15,1145,0,1188,78,23:22:12,02|Dec|2020
14,person,15,1323,0,1355,38,23:22:12,02|Dec|2020
16,person,15,995,0,1056,120,23:22:12,02|Dec|2020
17,person,15,321,222,396,407,23:22:12,02|Dec|2020
19,person,15,232,322,305,495,23:22:12,02|Dec|2020
1,person,16,185,850,288,1080,23:22:13,02|Dec|2020
2,person,16,746,219,814,400,23:22:13,02|Dec|2020
3,person,16,1606,645,1725,913,23:22:13,02|Dec|2020
4,person,16,899,71,961,221,23:22:13,02|Dec|2020
5,person,16,834,229,892,403,23:22:13,02|Dec|2020
6,person,16,815,417,942,653,23:22:13,02|Dec|2020
7,person,16,1646,104,1712,262,23:22:13,02|Dec|2020
9,person,16,1468,28,1547,174,23:22:13,02|Dec|2020
11,person,16,1814,172,1886,340,23:22:13,02|Dec|2020
12,person,16,621,954,864,1079,23:22:13,02|Dec|2020
13,person,16,1144,0,1187,78,23:22:13,02|Dec|2020
14,person,16,1323,0,1355,38,23:22:13,02|Dec|2020
16,person,16,996,0,1057,119,23:22:13,02|Dec|2020
17,person,16,322,224,396,406,23:22:13,02|Dec|2020
19,person,16,230,320,305,497,23:22:13,02|Dec|2020
1,person,17,180,854,282,1080,23:22:13,02|Dec|2020
2,person,17,749,218,816,396,23:22:13,02|Dec|2020
3,person,17,1609,649,1726,911,23:22:13,02|Dec|2020
4,person,17,900,71,962,221,23:22:13,02|Dec|2020
5,person,17,836,226,894,402,23:22:13,02|Dec|2020
6,person,17,814,417,940,653,23:22:13,02|Dec|2020
7,person,17,1646,103,1713,262,23:22:13,02|Dec|2020
9,person,17,1467,25,1545,171,23:22:13,02|Dec|2020
11,person,17,1814,171,1888,342,23:22:13,02|Dec|2020
12,person,17,624,951,865,1079,23:22:13,02|Dec|2020
13,person,17,1144,0,1187,79,23:22:13,02|Dec|2020
14,person,17,1323,0,1356,38,23:22:13,02|Dec|2020
16,person,17,997,0,1057,118,23:22:13,02|Dec|2020
17,person,17,324,223,398,405,23:22:13,02|Dec|2020
19,person,17,224,318,299,497,23:22:13,02|Dec|2020
1,person,18,174,858,275,1080,23:22:13,02|Dec|2020
2,person,18,751,215,818,391,23:22:13,02|Dec|2020
3,person,18,1610,652,1727,912,23:22:13,02|Dec|2020
4,person,18,902,71,964,220,23:22:13,02|Dec|2020
5,person,18,839,223,897,402,23:22:13,02|Dec|2020
6,person,18,812,421,942,668,23:22:13,02|Dec|2020
7,person,18,1646,102,1713,262,23:22:13,02|Dec|2020
9,person,18,1467,23,1546,170,23:22:13,02|Dec|2020
11,person,18,1817,171,1891,342,23:22:13,02|Dec|2020
12,person,18,628,948,867,1080,23:22:13,02|Dec|2020
13,person,18,1143,0,1186,79,23:22:13,02|Dec|2020
14,person,18,1324,0,1356,37,23:22:13,02|Dec|2020
16,person,18,998,0,1058,117,23:22:13,02|Dec|2020
17,person,18,325,225,400,406,23:22:13,02|Dec|2020
19,person,18,215,304,297,503,23:22:13,02|Dec|2020
1,person,19,165,862,265,1080,23:22:13,02|Dec|2020
2,person,19,753,212,820,388,23:22:13,02|Dec|2020
3,person,19,1613,655,1727,908,23:22:13,02|Dec|2020
4,person,19,904,71,966,218,23:22:13,02|Dec|2020
5,person,19,841,220,901,403,23:22:13,02|Dec|2020
6,person,19,809,422,939,674,23:22:13,02|Dec|2020
7,person,19,1645,101,1712,261,23:22:13,02|Dec|2020
9,person,19,1468,23,1547,171,23:22:13,02|Dec|2020
11,person,19,1818,171,1892,341,23:22:13,02|Dec|2020
12,person,19,629,944,868,1080,23:22:13,02|Dec|2020
13,person,19,1142,0,1185,79,23:22:13,02|Dec|2020
14,person,19,1323,0,1356,36,23:22:13,02|Dec|2020
16,person,19,1006,0,1064,116,23:22:13,02|Dec|2020
17,person,19,333,224,408,405,23:22:13,02|Dec|2020
19,person,19,210,301,294,506,23:22:13,02|Dec|2020
1,person,20,159,865,260,1080,23:22:13,02|Dec|2020
2,person,20,757,207,824,389,23:22:13,02|Dec|2020
3,person,20,1615,658,1728,910,23:22:13,02|Dec|2020
4,person,20,908,71,970,215,23:22:13,02|Dec|2020
5,person,20,844,218,904,405,23:22:13,02|Dec|2020
6,person,20,806,422,936,676,23:22:13,02|Dec|2020
7,person,20,1645,101,1712,261,23:22:13,02|Dec|2020
9,person,20,1469,22,1548,172,23:22:13,02|Dec|2020
12,person,20,633,940,870,1079,23:22:13,02|Dec|2020
13,person,20,1141,0,1185,80,23:22:13,02|Dec|2020
14,person,20,1324,0,1356,36,23:22:13,02|Dec|2020
16,person,20,1008,0,1066,117,23:22:13,02|Dec|2020
17,person,20,336,224,410,405,23:22:13,02|Dec|2020
19,person,20,208,305,290,508,23:22:13,02|Dec|2020
1,person,21,153,870,252,1080,23:22:13,02|Dec|2020
2,person,21,759,205,828,389,23:22:13,02|Dec|2020
3,person,21,1616,660,1730,910,23:22:13,02|Dec|2020
4,person,21,909,67,972,215,23:22:13,02|Dec|2020
5,person,21,845,216,906,406,23:22:13,02|Dec|2020
6,person,21,807,422,928,657,23:22:13,02|Dec|2020
7,person,21,1645,102,1712,262,23:22:13,02|Dec|2020
9,person,21,1471,21,1549,170,23:22:13,02|Dec|2020
12,person,21,637,933,875,1079,23:22:13,02|Dec|2020
13,person,21,1140,0,1184,81,23:22:13,02|Dec|2020
14,person,21,1325,0,1357,36,23:22:13,02|Dec|2020
16,person,21,1009,0,1066,116,23:22:13,02|Dec|2020
17,person,21,339,225,413,405,23:22:13,02|Dec|2020
19,person,21,203,302,287,512,23:22:13,02|Dec|2020
1,person,22,150,872,250,1080,23:22:13,02|Dec|2020
2,person,22,760,203,829,390,23:22:13,02|Dec|2020
3,person,22,1616,661,1730,910,23:22:13,02|Dec|2020
4,person,22,910,66,973,214,23:22:13,02|Dec|2020
5,person,22,846,215,907,407,23:22:13,02|Dec|2020
6,person,22,808,421,925,649,23:22:13,02|Dec|2020
7,person,22,1645,102,1712,262,23:22:13,02|Dec|2020
9,person,22,1471,21,1549,169,23:22:13,02|Dec|2020
12,person,22,640,931,874,1079,23:22:13,02|Dec|2020
13,person,22,1139,0,1183,81,23:22:13,02|Dec|2020
14,person,22,1325,0,1357,35,23:22:13,02|Dec|2020
16,person,22,1010,0,1067,115,23:22:13,02|Dec|2020
17,person,22,340,225,414,405,23:22:13,02|Dec|2020
19,person,22,202,312,285,521,23:22:13,02|Dec|2020
1,person,23,146,878,246,1080,23:22:13,02|Dec|2020
2,person,23,764,206,829,384,23:22:13,02|Dec|2020
3,person,23,1616,663,1732,918,23:22:13,02|Dec|2020
4,person,23,914,67,976,212,23:22:13,02|Dec|2020
5,person,23,849,215,909,406,23:22:13,02|Dec|2020
6,person,23,808,425,922,643,23:22:13,02|Dec|2020
7,person,23,1646,102,1711,262,23:22:13,02|Dec|2020
9,person,23,1471,22,1549,170,23:22:13,02|Dec|2020
12,person,23,645,926,877,1078,23:22:13,02|Dec|2020
13,person,23,1138,0,1182,82,23:22:13,02|Dec|2020
14,person,23,1325,0,1359,37,23:22:13,02|Dec|2020
16,person,23,1011,0,1068,116,23:22:13,02|Dec|2020
17,person,23,343,224,417,403,23:22:13,02|Dec|2020
19,person,23,199,318,281,523,23:22:13,02|Dec|2020
22,person,23,1765,614,1833,778,23:22:13,02|Dec|2020
1,person,24,140,885,239,1080,23:22:13,02|Dec|2020
2,person,24,768,209,830,378,23:22:13,02|Dec|2020
3,person,24,1615,668,1734,930,23:22:13,02|Dec|2020
4,person,24,918,67,980,211,23:22:13,02|Dec|2020
5,person,24,851,214,910,404,23:22:13,02|Dec|2020
6,person,24,804,431,923,658,23:22:13,02|Dec|2020
7,person,24,1645,101,1711,262,23:22:13,02|Dec|2020
9,person,24,1471,21,1548,169,23:22:13,02|Dec|2020
12,person,24,651,922,881,1078,23:22:13,02|Dec|2020
13,person,24,1138,0,1182,82,23:22:13,02|Dec|2020
14,person,24,1324,0,1360,38,23:22:13,02|Dec|2020
16,person,24,1014,1,1069,113,23:22:13,02|Dec|2020
17,person,24,344,219,418,401,23:22:13,02|Dec|2020
19,person,24,194,327,275,529,23:22:13,02|Dec|2020
22,person,24,1762,617,1831,781,23:22:13,02|Dec|2020
1,person,25,133,894,230,1079,23:22:13,02|Dec|2020
2,person,25,771,207,835,379,23:22:13,02|Dec|2020
3,person,25,1615,672,1737,941,23:22:13,02|Dec|2020
4,person,25,921,67,985,212,23:22:13,02|Dec|2020
5,person,25,853,211,912,403,23:22:13,02|Dec|2020
6,person,25,800,439,918,664,23:22:13,02|Dec|2020
7,person,25,1645,101,1710,261,23:22:13,02|Dec|2020
9,person,25,1472,22,1548,167,23:22:13,02|Dec|2020
12,person,25,658,919,884,1078,23:22:13,02|Dec|2020
13,person,25,1137,0,1181,82,23:22:13,02|Dec|2020
14,person,25,1324,0,1360,38,23:22:13,02|Dec|2020
16,person,25,1014,0,1070,114,23:22:13,02|Dec|2020
17,person,25,347,214,422,398,23:22:13,02|Dec|2020
19,person,25,189,330,269,530,23:22:13,02|Dec|2020
22,person,25,1761,618,1829,781,23:22:13,02|Dec|2020
1,person,26,126,901,222,1078,23:22:14,02|Dec|2020
2,person,26,773,204,840,381,23:22:14,02|Dec|2020
3,person,26,1615,679,1738,951,23:22:14,02|Dec|2020
4,person,26,923,66,988,212,23:22:14,02|Dec|2020
5,person,26,859,214,914,395,23:22:14,02|Dec|2020
6,person,26,794,442,915,671,23:22:14,02|Dec|2020
7,person,26,1645,100,1709,259,23:22:14,02|Dec|2020
9,person,26,1473,22,1548,166,23:22:14,02|Dec|2020
12,person,26,662,910,892,1079,23:22:14,02|Dec|2020
13,person,26,1134,0,1179,87,23:22:14,02|Dec|2020
14,person,26,1324,0,1361,38,23:22:14,02|Dec|2020
16,person,26,1015,0,1071,114,23:22:14,02|Dec|2020
17,person,26,350,213,425,397,23:22:14,02|Dec|2020
19,person,26,182,336,258,525,23:22:14,02|Dec|2020
1,person,27,115,906,210,1079,23:22:14,02|Dec|2020
2,person,27,779,203,847,381,23:22:14,02|Dec|2020
3,person,27,1615,684,1740,961,23:22:14,02|Dec|2020
4,person,27,923,64,989,212,23:22:14,02|Dec|2020
5,person,27,862,213,916,391,23:22:14,02|Dec|2020
6,person,27,789,445,910,675,23:22:14,02|Dec|2020
7,person,27,1645,99,1709,256,23:22:14,02|Dec|2020
9,person,27,1473,20,1549,167,23:22:14,02|Dec|2020
12,person,27,665,905,893,1079,23:22:14,02|Dec|2020
13,person,27,1132,0,1178,90,23:22:14,02|Dec|2020
14,person,27,1325,0,1361,38,23:22:14,02|Dec|2020
16,person,27,1015,0,1070,113,23:22:14,02|Dec|2020
17,person,27,354,204,430,390,23:22:14,02|Dec|2020
19,person,27,176,342,249,521,23:22:14,02|Dec|2020
1,person,28,111,908,207,1079,23:22:14,02|Dec|2020
2,person,28,781,202,849,381,23:22:14,02|Dec|2020
3,person,28,1614,685,1741,965,23:22:14,02|Dec|2020
4,person,28,923,63,990,212,23:22:14,02|Dec|2020
5,person,28,863,214,917,389,23:22:14,02|Dec|2020
6,person,28,788,446,909,676,23:22:14,02|Dec|2020
7,person,28,1645,98,1708,256,23:22:14,02|Dec|2020
9,person,28,1473,20,1549,167,23:22:14,02|Dec|2020
12,person,28,668,903,892,1079,23:22:14,02|Dec|2020
13,person,28,1131,0,1178,91,23:22:14,02|Dec|2020
16,person,28,1015,0,1070,112,23:22:14,02|Dec|2020
17,person,28,355,202,432,389,23:22:14,02|Dec|2020
19,person,28,175,344,245,519,23:22:14,02|Dec|2020
1,person,29,105,915,199,1079,23:22:14,02|Dec|2020
2,person,29,782,203,849,380,23:22:14,02|Dec|2020
3,person,29,1615,689,1744,974,23:22:14,02|Dec|2020
4,person,29,923,61,991,212,23:22:14,02|Dec|2020
5,person,29,865,212,919,388,23:22:14,02|Dec|2020
6,person,29,785,449,907,680,23:22:14,02|Dec|2020
7,person,29,1645,98,1708,253,23:22:14,02|Dec|2020
9,person,29,1473,18,1549,165,23:22:14,02|Dec|2020
12,person,29,673,901,892,1079,23:22:14,02|Dec|2020
13,person,29,1131,0,1177,90,23:22:14,02|Dec|2020
14,person,29,1328,0,1363,36,23:22:14,02|Dec|2020
16,person,29,1016,0,1071,113,23:22:14,02|Dec|2020
17,person,29,357,200,433,388,23:22:14,02|Dec|2020
19,person,29,171,344,242,518,23:22:14,02|Dec|2020
1,person,30,96,920,188,1080,23:22:14,02|Dec|2020
2,person,30,782,202,851,381,23:22:14,02|Dec|2020
3,person,30,1615,692,1744,978,23:22:14,02|Dec|2020
4,person,30,925,60,993,212,23:22:14,02|Dec|2020
5,person,30,866,210,921,386,23:22:14,02|Dec|2020
6,person,30,780,451,902,681,23:22:14,02|Dec|2020
7,person,30,1645,96,1708,251,23:22:14,02|Dec|2020
9,person,30,1475,15,1550,163,23:22:14,02|Dec|2020
12,person,30,675,897,893,1080,23:22:14,02|Dec|2020
13,person,30,1131,0,1177,91,23:22:14,02|Dec|2020
14,person,30,1329,0,1364,35,23:22:14,02|Dec|2020
16,person,30,1015,0,1072,115,23:22:14,02|Dec|2020
17,person,30,358,200,434,386,23:22:14,02|Dec|2020
19,person,30,166,347,237,523,23:22:14,02|Dec|2020
1,person,31,87,924,179,1080,23:22:14,02|Dec|2020
2,person,31,785,200,852,375,23:22:14,02|Dec|2020
3,person,31,1616,695,1744,978,23:22:14,02|Dec|2020
4,person,31,929,64,996,213,23:22:14,02|Dec|2020
5,person,31,868,209,923,383,23:22:14,02|Dec|2020
6,person,31,777,454,897,680,23:22:14,02|Dec|2020
7,person,31,1645,95,1707,249,23:22:14,02|Dec|2020
9,person,31,1476,13,1551,162,23:22:14,02|Dec|2020
12,person,31,680,892,897,1080,23:22:14,02|Dec|2020
13,person,31,1130,0,1176,91,23:22:14,02|Dec|2020
14,person,31,1328,0,1364,35,23:22:14,02|Dec|2020
16,person,31,1016,0,1073,115,23:22:14,02|Dec|2020
17,person,31,361,200,439,385,23:22:14,02|Dec|2020
19,person,31,160,347,234,530,23:22:14,02|Dec|2020
1,person,32,80,927,173,1080,23:22:14,02|Dec|2020
2,person,32,787,197,854,374,23:22:14,02|Dec|2020
3,person,32,1616,698,1744,979,23:22:14,02|Dec|2020
4,person,32,932,66,997,213,23:22:14,02|Dec|2020
5,person,32,871,206,926,381,23:22:14,02|Dec|2020
6,person,32,774,455,893,679,23:22:14,02|Dec|2020
7,person,32,1645,94,1707,248,23:22:14,02|Dec|2020
9,person,32,1477,12,1552,162,23:22:14,02|Dec|2020
12,person,32,688,888,903,1080,23:22:14,02|Dec|2020
13,person,32,1129,0,1175,92,23:22:14,02|Dec|2020
14,person,32,1329,0,1365,36,23:22:14,02|Dec|2020
16,person,32,1017,0,1073,115,23:22:14,02|Dec|2020
17,person,32,366,202,444,383,23:22:14,02|Dec|2020
19,person,32,156,356,230,535,23:22:14,02|Dec|2020
1,person,33,71,931,163,1080,23:22:14,02|Dec|2020
2,person,33,790,196,855,370,23:22:14,02|Dec|2020
3,person,33,1617,701,1744,980,23:22:14,02|Dec|2020
4,person,33,933,64,998,212,23:22:14,02|Dec|2020
5,person,33,874,205,930,382,23:22:14,02|Dec|2020
6,person,33,771,456,888,672,23:22:14,02|Dec|2020
7,person,33,1645,93,1706,246,23:22:14,02|Dec|2020
9,person,33,1478,11,1553,161,23:22:14,02|Dec|2020
12,person,33,693,882,906,1080,23:22:14,02|Dec|2020
13,person,33,1128,0,1174,91,23:22:14,02|Dec|2020
14,person,33,1329,0,1366,36,23:22:14,02|Dec|2020
16,person,33,1018,0,1074,114,23:22:14,02|Dec|2020
17,person,33,372,204,452,383,23:22:14,02|Dec|2020
19,person,33,149,357,226,542,23:22:14,02|Dec|2020
1,person,34,67,932,161,1080,23:22:14,02|Dec|2020
2,person,34,791,195,856,368,23:22:14,02|Dec|2020
3,person,34,1617,702,1745,980,23:22:14,02|Dec|2020
4,person,34,933,64,998,211,23:22:14,02|Dec|2020
5,person,34,875,205,932,382,23:22:14,02|Dec|2020
6,person,34,770,456,887,670,23:22:14,02|Dec|2020
7,person,34,1645,93,1706,246,23:22:14,02|Dec|2020
9,person,34,1478,10,1553,161,23:22:14,02|Dec|2020
12,person,34,696,880,906,1080,23:22:14,02|Dec|2020
13,person,34,1127,0,1174,91,23:22:14,02|Dec|2020
14,person,34,1329,0,1367,36,23:22:14,02|Dec|2020
16,person,34,1019,0,1074,114,23:22:14,02|Dec|2020
17,person,34,373,206,454,383,23:22:14,02|Dec|2020
19,person,34,146,359,225,543,23:22:14,02|Dec|2020
1,person,35,58,936,152,1080,23:22:14,02|Dec|2020
2,person,35,795,194,858,365,23:22:14,02|Dec|2020
3,person,35,1618,704,1745,981,23:22:14,02|Dec|2020
4,person,35,934,63,999,213,23:22:14,02|Dec|2020
5,person,35,878,205,936,382,23:22:14,02|Dec|2020
6,person,35,767,455,885,668,23:22:14,02|Dec|2020
7,person,35,1645,93,1706,245,23:22:14,02|Dec|2020
9,person,35,1480,11,1555,160,23:22:14,02|Dec|2020
12,person,35,699,877,906,1080,23:22:14,02|Dec|2020
13,person,35,1127,0,1173,92,23:22:14,02|Dec|2020
14,person,35,1330,0,1366,34,23:22:14,02|Dec|2020
16,person,35,1019,0,1074,112,23:22:14,02|Dec|2020
17,person,35,376,205,459,383,23:22:14,02|Dec|2020
